2025-09-20 23:53:45,661 [INFO] [CYCLE_COMPLETE] Agent 8 | Cycle 1 | Voting list: [{'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 8}, {'sender': 2}, {'sender': 3}]
2025-09-20 23:53:45,662 [INFO] [RESET] server_t=880 local_t=5860 ms | Agent 8 | Voting list reset for cycle 2
2025-09-20 23:53:47,105 [INFO] [CYCLE_COMPLETE] Agent 6 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,105 [INFO] [CYCLE_COMPLETE] Agent 1 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,105 [INFO] [CYCLE_COMPLETE] Agent 2 | Cycle 2 | Voting list: [{'sender': 9}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 2}, {'sender': 8}, {'sender': 7}]
2025-09-20 23:53:47,105 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 1 | Voting list reset for cycle 3
2025-09-20 23:53:47,105 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 6 | Voting list reset for cycle 3
2025-09-20 23:53:47,105 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 2 | Voting list reset for cycle 3
2025-09-20 23:53:47,111 [INFO] [CYCLE_COMPLETE] Agent 7 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}, {'sender': 7}]
2025-09-20 23:53:47,111 [INFO] [CYCLE_COMPLETE] Agent 9 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}, {'sender': 9}]
2025-09-20 23:53:47,112 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 9 | Voting list reset for cycle 3
2025-09-20 23:53:47,112 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 7 | Voting list reset for cycle 3
2025-09-20 23:53:47,115 [INFO] [CYCLE_COMPLETE] Agent 8 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,115 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 8 | Voting list reset for cycle 3
2025-09-20 23:53:47,115 [INFO] [CYCLE_COMPLETE] Agent 4 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,121 [INFO] [RESET] server_t=1320 local_t=6260 ms | Agent 4 | Voting list reset for cycle 3
2025-09-20 23:53:47,115 [INFO] [CYCLE_COMPLETE] Agent 3 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 3}, {'sender': 10}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,127 [INFO] [CYCLE_COMPLETE] Agent 10 | Cycle 2 | Voting list: [{'sender': 2}, {'sender': 10}, {'sender': 3}, {'sender': 4}, {'sender': 6}, {'sender': 1}, {'sender': 8}]
2025-09-20 23:53:47,127 [INFO] [RESET] server_t=1320 local_t=6260 ms | Agent 3 | Voting list reset for cycle 3
2025-09-20 23:53:47,127 [INFO] [RESET] server_t=1320 local_t=6300 ms | Agent 10 | Voting list reset for cycle 3
2025-09-20 23:53:48,820 [INFO] [CYCLE_COMPLETE] Agent 6 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 2}, {'sender': 7}, {'sender': 3}]
2025-09-20 23:53:48,820 [INFO] [CYCLE_COMPLETE] Agent 2 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 2}, {'sender': 6}, {'sender': 7}]
2025-09-20 23:53:48,820 [INFO] [CYCLE_COMPLETE] Agent 10 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,820 [INFO] [CYCLE_COMPLETE] Agent 1 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 2}]
2025-09-20 23:53:48,820 [INFO] [CYCLE_COMPLETE] Agent 9 | Cycle 3 | Voting list: [{'sender': 8}, {'sender': 9}, {'sender': 4}, {'sender': 10}, {'sender': 1}, {'sender': 6}, {'sender': 7}, {'sender': 2}]
